InitialWolves,Run,Extinction,ExtinctionWeek,MinDeer,FinalDeer,FinalWolves,MaxWolves,TimeToDeer4000,TimeToDeer3000,MeanDeerPerWolf_Year1,MeanWeeklyDeerKilled_Year1,MeanWolfBirths_Year1,MeanWolfDeaths_Year1,MeanDeer_FinalPhase,SDDeer_FinalPhase,MeanWolves_FinalPhase
40,17,True,0.0,340,360,0,83,1084.5,1201.5,273.10544712042014,5.447619047619048,0.11428571428571428,0.02857142857142857,428.38736591179975,81.80972967091968,2.6841477949940407
40,18,True,0.0,266,273,0,85,1143.5,1239.5,312.70422809449127,5.380952380952381,0.01904761904761905,0.05714285714285714,304.4233524355301,18.137246547845926,2.2564469914040113
40,19,True,0.0,366,1154,0,76,985.0,1077.5,255.43313423099548,5.619047619047619,0.14285714285714285,0.02857142857142857,947.3696682464455,109.78726553571592,2.7498683517640865
45,0,True,0.0,597,649,0,78,1162.5,1292.5,240.24529827878828,6.4,0.09523809523809523,0.02857142857142857,1485.8952573158426,821.4928147088061,11.531786074672048
45,1,True,0.0,291,293,0,73,1171.5,1284.0,269.8755408919405,6.419047619047619,0.05714285714285714,0.06666666666666667,317.8347260909935,13.130549145367798,2.1467038068709376
45,2,True,0.0,234,780,0,79,888.5,1004.5,257.3780421648832,5.304761904761905,0.12380952380952381,0.08571428571428572,1644.227014755959,784.2279019080312,11.355051078320091
45,3,True,0.0,716,1862,0,76,1173.5,1291.5,255.35487666965236,5.20952380952381,0.06666666666666667,0.0380952380952381,1435.761185006046,239.43298449497857,3.3458282950423217
45,4,True,0.0,397,568,0,76,1185.0,1304.0,251.4816154542224,6.161904761904762,0.0761904761904762,0.0380952380952381,504.45538057742783,45.944683731104206,2.7473753280839897
45,5,True,0.0,540,560,0,77,1014.5,1151.5,241.73091595313076,5.276190476190476,0.11428571428571428,0.06666666666666667,599.8655788655789,43.91813167882297,2.797202797202797
45,6,False,,539,2446,17,86,982.5,1093.0,235.7219733772562,6.9714285714285715,0.1523809523809524,0.02857142857142857,2070.175782421758,195.49333517399066,14.804919508049196
45,7,False,,472,1103,7,79,1049.0,1170.5,234.379115726753,6.533333333333333,0.08571428571428572,0.02857142857142857,2098.0836916308367,339.7838685032156,14.903009699030097
45,8,True,0.0,334,381,0,80,1092.5,1192.0,240.49536080535614,6.2,0.11428571428571428,0.05714285714285714,444.1631284916201,92.23751186056809,3.654748603351955
45,9,False,,684,1863,12,85,884.5,981.5,243.72660571256773,6.485714285714286,0.10476190476190476,0.047619047619047616,2350.1825817418257,560.8853555411961,16.336866313368663
